StudyHours,PreviousResult,Attendance,FinalMarks
4.5,41.8,85.5,59.1
11.4,49.5,41.5,71.6
8.8,42.4,41.3,71.8
7.2,36.2,59.4,60.6
1.9,38.4,69.3,46.6
1.9,62.3,86.2,69.2
0.7,44.4,81.0,60.1
10.4,55.5,66.8,87.0
7.2,65.2,56.4,79.6
8.5,78.3,99.8,93.0
0.2,32.8,65.6,36.3
11.6,86.0,67.1,100.0
10.0,74.0,49.8,82.9
2.5,35.7,87.7,56.8
2.2,91.2,81.6,84.2
2.2,94.5,53.2,73.1
3.7,34.3,44.9,50.6
6.3,49.4,80.8,83.7
5.2,86.4,79.3,80.7
3.5,82.4,56.4,75.0
7.3,42.9,97.1,78.5
1.7,44.7,49.1,49.1
3.5,55.9,65.9,70.3
4.4,63.9,96.6,80.3
5.5,73.3,65.2,78.1
9.4,55.8,78.3,89.4
2.4,62.4,63.9,59.5
6.2,82.3,56.5,74.3
7.1,32.6,99.0,68.8
0.6,47.7,64.6,40.4
7.3,79.9,93.6,100.0
2.0,92.7,53.8,63.7
0.8,65.8,52.8,53.5
11.4,67.2,41.9,82.3
11.6,37.5,79.1,85.1
9.7,61.3,62.1,86.3
3.7,67.3,91.9,79.9
1.2,47.0,68.4,50.0
8.2,48.8,98.1,82.7
5.3,56.4,51.1,65.2
1.5,31.4,92.1,53.4
5.9,52.5,86.6,82.7
0.4,44.8,86.3,57.5
10.9,52.9,90.7,94.7
3.1,38.4,85.7,63.7
8.0,92.3,77.6,100.0
3.7,71.6,47.9,65.0
6.2,77.5,42.0,65.7
6.6,85.2,95.3,94.5
2.2,64.9,77.0,62.4
11.6,36.1,87.8,82.9
9.3,67.6,68.9,88.5
11.3,71.1,47.0,92.6
10.7,82.2,47.5,89.3
7.2,60.2,81.1,81.6
11.1,38.9,65.8,87.1
1.1,49.9,52.0,50.1
2.4,55.4,69.5,73.2
0.5,75.2,43.9,57.6
3.9,70.0,74.9,63.4
4.7,54.9,56.1,66.7
3.3,99.1,87.9,87.8
9.9,72.4,58.6,92.7
4.3,46.6,67.3,65.1
3.4,37.1,40.7,46.6
6.5,40.7,44.3,52.9
1.7,47.2,63.5,52.0
9.6,41.2,68.8,71.7
0.9,43.1,76.0,49.8
11.8,50.0,57.5,85.6
9.3,42.1,81.7,87.6
2.4,92.8,91.6,83.8
0.1,35.6,86.8,44.6
9.8,66.7,42.4,81.0
8.5,58.7,68.8,85.6
8.7,98.8,46.3,86.5
9.3,37.8,54.5,68.7
0.9,57.8,99.2,65.7
